service_id,date,exception_type
BLUS:HAAO001:1:001MFBLUS:O:1,20250825,2
BLUS:HAAO001:1:001MFBLUS:O:2,20250825,2
BLUS:HAAO001:1:001MFBLUS:O:3,20250825,2
BLUS:HAAO001:1:001MFBLUS:O:4,20250825,2
BLUS:HAAO001:1:001MFBLUS:O:5,20250825,2
BLUS:HAAO001:1:001MFBLUS:O:6,20250616,1
BLUS:HAAO001:1:001MFBLUS:O:6,20250617,1
BLUS:HAAO001:1:001MFBLUS:O:6,20250618,1
BLUS:HAAO001:1:001MFBLUS:O:6,20250619,1
BLUS:HAAO001:1:001MFBLUS:O:6,20250620,1
BLUS:HAAO001:1:001MFBLUS:O:6,20250623,1
BLUS:HAAO001:1:001MFBLUS:O:6,20250624,1
BLUS:HAAO001:1:001MFBLUS:O:6,20250625,1
BLUS:HAAO001:1:001MFBLUS:O:6,20250626,1
BLUS:HAAO001:1:001MFBLUS:O:6,20250627,1
BLUS:HAAO001:1:001MFBLUS:O:6,20250630,1
BLUS:HAAO001:1:001MFBLUS:O:6,20250701,1
BLUS:HAAO001:1:001MFBLUS:O:6,20250702,1
BLUS:HAAO001:1:001MFBLUS:O:6,20250703,1
BLUS:HAAO001:1:001MFBLUS:O:6,20250704,1
BLUS:HAAO001:1:001MFBLUS:O:6,20250707,1
BLUS:HAAO001:1:001MFBLUS:O:6,20250708,1
BLUS:HAAO001:1:001MFBLUS:O:6,20250709,1
BLUS:HAAO001:1:001MFBLUS:O:6,20250710,1
BLUS:HAAO001:1:001MFBLUS:O:6,20250711,1
BLUS:HAAO001:1:001MFBLUS:O:6,20250714,1
BLUS:HAAO001:1:001MFBLUS:O:6,20250715,1
BLUS:HAAO001:1:001MFBLUS:O:6,20250716,1
BLUS:HAAO001:1:001MFBLUS:O:6,20250717,1
BLUS:HAAO001:1:001MFBLUS:O:6,20250718,1
BLUS:HAAO001:1:001MFBLUS:O:6,20250825,2
BLUS:HAAO001:1:001MFBLUS:O:7,20250616,2
BLUS:HAAO001:1:001MFBLUS:O:7,20250617,2
BLUS:HAAO001:1:001MFBLUS:O:7,20250618,2
BLUS:HAAO001:1:001MFBLUS:O:7,20250619,2
BLUS:HAAO001:1:001MFBLUS:O:7,20250620,2
BLUS:HAAO001:1:001MFBLUS:O:7,20250623,2
BLUS:HAAO001:1:001MFBLUS:O:7,20250624,2
BLUS:HAAO001:1:001MFBLUS:O:7,20250625,2
BLUS:HAAO001:1:001MFBLUS:O:7,20250626,2
BLUS:HAAO001:1:001MFBLUS:O:7,20250627,2
BLUS:HAAO001:1:001MFBLUS:O:7,20250630,2
BLUS:HAAO001:1:001MFBLUS:O:7,20250701,2
BLUS:HAAO001:1:001MFBLUS:O:7,20250702,2
BLUS:HAAO001:1:001MFBLUS:O:7,20250703,2
BLUS:HAAO001:1:001MFBLUS:O:7,20250704,2
BLUS:HAAO001:1:001MFBLUS:O:7,20250707,2
BLUS:HAAO001:1:001MFBLUS:O:7,20250708,2
BLUS:HAAO001:1:001MFBLUS:O:7,20250709,2
BLUS:HAAO001:1:001MFBLUS:O:7,20250710,2
BLUS:HAAO001:1:001MFBLUS:O:7,20250711,2
BLUS:HAAO001:1:001MFBLUS:O:7,20250714,2
BLUS:HAAO001:1:001MFBLUS:O:7,20250715,2
BLUS:HAAO001:1:001MFBLUS:O:7,20250716,2
BLUS:HAAO001:1:001MFBLUS:O:7,20250717,2
BLUS:HAAO001:1:001MFBLUS:O:7,20250718,2
BLUS:HAAO001:1:001MFBLUS:O:7,20250825,2
BLUS:HAAO001:1:001MFBLUS:O:8,20250616,1
BLUS:HAAO001:1:001MFBLUS:O:8,20250617,1
BLUS:HAAO001:1:001MFBLUS:O:8,20250618,1
BLUS:HAAO001:1:001MFBLUS:O:8,20250619,1
BLUS:HAAO001:1:001MFBLUS:O:8,20250620,1
BLUS:HAAO001:1:001MFBLUS:O:8,20250623,1
BLUS:HAAO001:1:001MFBLUS:O:8,20250624,1
BLUS:HAAO001:1:001MFBLUS:O:8,20250625,1
BLUS:HAAO001:1:001MFBLUS:O:8,20250626,1
BLUS:HAAO001:1:001MFBLUS:O:8,20250627,1
BLUS:HAAO001:1:001MFBLUS:O:8,20250630,1
BLUS:HAAO001:1:001MFBLUS:O:8,20250701,1
BLUS:HAAO001:1:001MFBLUS:O:8,20250702,1
BLUS:HAAO001:1:001MFBLUS:O:8,20250703,1
BLUS:HAAO001:1:001MFBLUS:O:8,20250704,1
BLUS:HAAO001:1:001MFBLUS:O:8,20250707,1
BLUS:HAAO001:1:001MFBLUS:O:8,20250708,1
BLUS:HAAO001:1:001MFBLUS:O:8,20250709,1
BLUS:HAAO001:1:001MFBLUS:O:8,20250710,1
BLUS:HAAO001:1:001MFBLUS:O:8,20250711,1
BLUS:HAAO001:1:001MFBLUS:O:8,20250714,1
BLUS:HAAO001:1:001MFBLUS:O:8,20250715,1
BLUS:HAAO001:1:001MFBLUS:O:8,20250716,1
BLUS:HAAO001:1:001MFBLUS:O:8,20250717,1
BLUS:HAAO001:1:001MFBLUS:O:8,20250718,1
BLUS:HAAO001:1:001MFBLUS:O:8,20250825,2
BLUS:HAAO001:1:001MFBLUS:O:9,20250616,2
BLUS:HAAO001:1:001MFBLUS:O:9,20250617,2
BLUS:HAAO001:1:001MFBLUS:O:9,20250618,2
BLUS:HAAO001:1:001MFBLUS:O:9,20250619,2
BLUS:HAAO001:1:001MFBLUS:O:9,20250620,2
BLUS:HAAO001:1:001MFBLUS:O:9,20250623,2
BLUS:HAAO001:1:001MFBLUS:O:9,20250624,2
BLUS:HAAO001:1:001MFBLUS:O:9,20250625,2
BLUS:HAAO001:1:001MFBLUS:O:9,20250626,2
BLUS:HAAO001:1:001MFBLUS:O:9,20250627,2
BLUS:HAAO001:1:001MFBLUS:O:9,20250630,2
BLUS:HAAO001:1:001MFBLUS:O:9,20250701,2
BLUS:HAAO001:1:001MFBLUS:O:9,20250702,2
BLUS:HAAO001:1:001MFBLUS:O:9,20250703,2
BLUS:HAAO001:1:001MFBLUS:O:9,20250704,2
BLUS:HAAO001:1:001MFBLUS:O:9,20250707,2
BLUS:HAAO001:1:001MFBLUS:O:9,20250708,2
BLUS:HAAO001:1:001MFBLUS:O:9,20250709,2
BLUS:HAAO001:1:001MFBLUS:O:9,20250710,2
BLUS:HAAO001:1:001MFBLUS:O:9,20250711,2
BLUS:HAAO001:1:001MFBLUS:O:9,20250714,2
BLUS:HAAO001:1:001MFBLUS:O:9,20250715,2
BLUS:HAAO001:1:001MFBLUS:O:9,20250716,2
BLUS:HAAO001:1:001MFBLUS:O:9,20250717,2
BLUS:HAAO001:1:001MFBLUS:O:9,20250718,2
BLUS:HAAO001:1:001MFBLUS:O:9,20250825,2
BLUS:HAAO001:1:001MFBLUS:O:10,20250616,1
BLUS:HAAO001:1:001MFBLUS:O:10,20250617,1
BLUS:HAAO001:1:001MFBLUS:O:10,20250618,1
BLUS:HAAO001:1:001MFBLUS:O:10,20250619,1
BLUS:HAAO001:1:001MFBLUS:O:10,20250620,1
BLUS:HAAO001:1:001MFBLUS:O:10,20250623,1
