route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
BLUS:HAAO001:1,BLUS,1,,,3,,FFFFFF,000000
BLUS:HAAO002:2,BLUS,2,,,3,,FFFFFF,000000
BLUS:HAAO003:3,BLUS,3,,,3,,FFFFFF,000000
BLUS:HAAO004:4,BLUS,4,,,3,,FFFFFF,000000
BLUS:HAAO005:5,BLUS,5,,,3,,FFFFFF,000000
BLUS:HAAO006:6,BLUS,6,,,3,,FFFFFF,000000
BLUS:HAAO007:7,BLUS,7,,,3,,FFFFFF,000000
BLUS:HAAO008:8,BLUS,8,,,3,,FFFFFF,000000
BLUS:HAAO009:9,BLUS,9,,,3,,FFFFFF,000000
BLUS:HAAO010:10,BLUS,10,,,3,,FFFFFF,000000
BLUS:HAAO011:11,BLUS,11,,,3,,FFFFFF,000000
BLUS:HAAO012:12,BLUS,12,,,3,,FFFFFF,000000
BLUS:HAAO013:13,BLUS,13,,,3,,FFFFFF,000000
BLUS:HAAO014:14,BLUS,14,,,3,,FFFFFF,000000
BLUS:HAAO015:15,BLUS,15,,,3,,FFFFFF,000000
BLUS:HAAO016:16,BLUS,16,,,3,,FFFFFF,000000
BLUS:HAAO017:17,BLUS,17,,,3,,FFFFFF,000000
BLUS:HAAO018:18,BLUS,18,,,3,,FFFFFF,000000
BLUS:HAAO019:19,BLUS,19,,,3,,FFFFFF,000000
BLUS:HAAO019A:19a,BLUS,19a,,,3,,FFFFFF,000000
BLUS:HAAO020:20,BLUS,20,,,3,,FFFFFF,000000
BLUS:HAAO021:21,BLUS,21,,,3,,FFFFFF,000000
BLUS:HAAO022:22,BLUS,22,,,3,,FFFFFF,000000
BLUS:HAAO023:23,BLUS,23,,,3,,FFFFFF,000000
BLUS:HAAO024:24,BLUS,24,,,3,,FFFFFF,000000
BLUS:HAAO035:35,BLUS,35,,,3,,FFFFFF,000000
BLUS:HAAO061:61,BLUS,61,,,3,,FFFFFF,000000
BLUS:HAAO301:301,BLUS,301,,,3,,FFFFFF,000000
BLUS:HAAO302:302,BLUS,302,,,3,,FFFFFF,000000
BLUS:HAAO424:424,BLUS,424,,,3,,FFFFFF,000000
BLUS:HAAO425:425,BLUS,425,,,3,,FFFFFF,000000
BLUS:HAAO503:503,BLUS,503,,,3,,FFFFFF,000000
