route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
BLUS:HAAO001:1,BLUS:HAAO001:1:001MFBLUS:O:1,BLUS:HAAO001:1:001MFBLUS:O:1,Winchester,,1,,HAAO001-3,,
BLUS:HAAO001:1,BLUS:HAAO001:1:001MFBLUS:O:2,BLUS:HAAO001:1:001MFBLUS:O:2,Winchester,,1,,HAAO001-3,,
BLUS:HAAO001:1,BLUS:HAAO001:1:001MFBLUS:O:3,BLUS:HAAO001:1:001MFBLUS:O:3,Winchester,,1,,HAAO001-3,,
BLUS:HAAO001:1,BLUS:HAAO001:1:001MFBLUS:O:4,BLUS:HAAO001:1:001MFBLUS:O:4,Winchester,,1,,HAAO001-3,,
BLUS:HAAO001:1,BLUS:HAAO001:1:001MFBLUS:O:5,BLUS:HAAO001:1:001MFBLUS:O:5,Winchester,,1,,HAAO001-3,,
BLUS:HAAO001:1,BLUS:HAAO001:1:001MFBLUS:O:6,BLUS:HAAO001:1:001MFBLUS:O:6,Winchester,,1,,HAAO001-3,,
BLUS:HAAO001:1,BLUS:HAAO001:1:001MFBLUS:O:7,BLUS:HAAO001:1:001MFBLUS:O:7,Winchester,,1,,HAAO001-3,,
BLUS:HAAO001:1,BLUS:HAAO001:1:001MFBLUS:O:8,BLUS:HAAO001:1:001MFBLUS:O:8,Winchester,,1,,HAAO001-3,,
BLUS:HAAO001:1,BLUS:HAAO001:1:001MFBLUS:O:9,BLUS:HAAO001:1:001MFBLUS:O:9,Winchester,,1,,HAAO001-3,,
BLUS:HAAO001:1,BLUS:HAAO001:1:001MFBLUS:O:10,BLUS:HAAO001:1:001MFBLUS:O:10,Winchester,,1,,HAAO001-3,,
BLUS:HAAO001:1,BLUS:HAAO001:1:001MFBLUS:O:11,BLUS:HAAO001:1:001MFBLUS:O:11,Winchester,,1,,HAAO001-3,,
BLUS:HAAO001:1,BLUS:HAAO001:1:001MFBLUS:O:12,BLUS:HAAO001:1:001MFBLUS:O:12,Winchester,,1,,HAAO001-3,,
BLUS:HAAO001:1,BLUS:HAAO001:1:001MFBLUS:O:13,BLUS:HAAO001:1:001MFBLUS:O:13,Winchester,,1,,HAAO001-1,,
BLUS:HAAO001:1,BLUS:HAAO001:1:001MFBLUS:O:14,BLUS:HAAO001:1:001MFBLUS:O:14,Winchester,,1,,HAAO001-1,,
BLUS:HAAO001:1,BLUS:HAAO001:1:001MFBLUS:O:15,BLUS:HAAO001:1:001MFBLUS:O:15,Winchester,,1,,HAAO001-1,,
BLUS:HAAO001:1,BLUS:HAAO001:1:001MFBLUS:O:16,BLUS:HAAO001:1:001MFBLUS:O:16,Winchester,,1,,HAAO001-1,,
BLUS:HAAO001:1,BLUS:HAAO001:1:001MFBLUS:O:17,BLUS:HAAO001:1:001MFBLUS:O:17,Winchester,,1,,HAAO001-1,,
BLUS:HAAO001:1,BLUS:HAAO001:1:001MFBLUS:O:18,BLUS:HAAO001:1:001MFBLUS:O:18,Winchester,,1,,HAAO001-1,,
BLUS:HAAO001:1,BLUS:HAAO001:1:001MFBLUS:O:19,BLUS:HAAO001:1:001MFBLUS:O:19,Winchester,,1,,HAAO001-1,,
BLUS:HAAO001:1,BLUS:HAAO001:1:001MFBLUS:O:20,BLUS:HAAO001:1:001MFBLUS:O:20,Winchester,,1,,HAAO001-1,,
BLUS:HAAO001:1,BLUS:HAAO001:1:001MFBLUS:O:21,BLUS:HAAO001:1:001MFBLUS:O:21,Winchester,,1,,HAAO001-1,,
BLUS:HAAO001:1,BLUS:HAAO001:1:001MFBLUS:O:22,BLUS:HAAO001:1:001MFBLUS:O:22,Winchester,,1,,HAAO001-1,,
BLUS:HAAO001:1,BLUS:HAAO001:1:001MFBLUS:O:23,BLUS:HAAO001:1:001MFBLUS:O:23,Winchester,,1,,HAAO001-1,,
BLUS:HAAO001:1,BLUS:HAAO001:1:001MFBLUS:O:24,BLUS:HAAO001:1:001MFBLUS:O:24,Winchester,,1,,HAAO001-1,,
