stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1980SN12619A,,"Southampton, Hanover Buildings [CU]",,50.903095366,-1.403140944,,,,,,
1980SN12532A,,"Above Bar [AC]",,50.905746243,-1.404529276,,,,,,
1980SN12524D,,"Cenotaph [HD]",,50.910001583,-1.40490171,,,,,,
1980SN120522,,"Giddy Bridge",,50.911849634,-1.404038939,,,,,,
1980SN120535,,"Law Courts",,50.914045908,-1.402252165,,,,,,
1980SN120405,,"The Avenue, Archers Road",,50.915872404,-1.402892241,,,,,,
1980SN120401,,"The Avenue, Stag Gates",,50.918917978,-1.404090956,,,,,,
1980SN120398,,"Northlands Road",,50.922232788,-1.405186804,,,,,,
1980SN121052,,"Oakmount Avenue",,50.927100358,-1.405708133,,,,,,
1980SN121053,,"Avenue Subway",,50.929565504,-1.405947093,,,,,,
1980SN120118,,"Bassett Crossroads",,50.937005892,-1.406663546,,,,,,
1980SN120117,,"Bassett Crescent",,50.939084021,-1.406836363,,,,,,
1980SN121007,,"Holly Hill",,50.942876773,-1.406432287,,,,,,
1980SN121006,,"Ridgemount Avenue",,50.945723714,-1.405712802,,,,,,
1980SN121008,,"Saxholm Way",,50.949190359,-1.404842965,,,,,,
1980HA121017,,"Bassett, Chilworth Roundabout",,50.95217376,-1.404434736,,,,,,
1900HA100779,,"Birch Road",,50.956305463,-1.401733762,,,,,,
1900HA030002,,"Chandlers Ford, Asda",,50.968085131,-1.391214955,,,,,,
1900HA030107,,"Leigh Road",,50.975531861,-1.387969834,,,,,,
1900HA030013,,"Hut Farm Place",,50.97968114,-1.385265792,,,,,,
1900HA030015,,"Chandlers Ford Rail Station",,50.983220417,-1.382854269,,,,,,
1900HAA19662,,"Kings Road",,50.98602466,-1.379198451,,,,,,
1900HA030067,,"Fryern Hill, Halfway Inn",,50.987824914,-1.374472867,,,,,,
1900HA030071,,"Peverells Wood Avenue",,50.989944598,-1.370654455,,,,,,
1900HA030181,,"Thornden School",,50.994472098,-1.364808046,,,,,,
1900HA030180,,"Nuffield Hospital",,50.996922283,-1.360642107,,,,,,
1900HA110433,,"Otterbourne Hill Green",,50.99908572,-1.355054624,,,,,,
1900HA110430,,"Otterbourne, White Horse",,51.004771644,-1.347450539,,,,,,
1900HA110428,,"Oakwood Avenue",,51.010120287,-1.342315325,,,,,,
1900HA110427,,Sparrowgrove,,51.012127669,-1.341089551,,,,,,
1900HA110424,,"Highways Road",,51.015944494,-1.338626242,,,,,,
1900HA110423,,"South Down",,51.019251089,-1.336583258,,,,,,
1900HA110420,,"Shawford Down",,51.02392861,-1.332110708,,,,,,
1900HA110419,,"Compton, Compton Street",,51.027974416,-1.33198129,,,,,,
1900HAA91084,,"Bushfield Roundabout",,51.03715204,-1.328226744,,,,,,
1900HA110041,,"Grange Road",,51.04511756,-1.32481641,,,,,,
1900HA110043,,"St Cross, Bell Inn",,51.048921148,-1.323234671,,,,,,
1900HA110044,,"Barnes Close",,51.051154999,-1.32233186,,,,,,
1900HA110046,,"Ranelagh Road",,51.054814187,-1.320666212,,,,,,
1900HA110049,,"Romans Road",,51.05749618,-1.319514029,,,,,,
1900HA110050,,"St Thomas Church",,51.061595822,-1.317827185,,,,,,
1900HA110100,,"Westgate [Pb]",,51.064352191,-1.320184171,,,,,,
1900HA110111,,"Winchester Rail Station [Qb]",,51.067122759,-1.318802073,,,,,,
1900HA110103,,"City Road [Rd]",,51.066281802,-1.316459644,,,,,,
1900HA110102,,"North Walls",,51.06531083,-1.31189294,,,,,,
1900HA110057,,"Winchester Bus Station [A]",,51.061974397,-1.310315603,,,,,,
1900HA110113,,"The Arc",,51.065154193,-1.315848322,,,,,,
1900HA030179,,"Nuffield Hospital",,50.997054273,-1.360113042,,,,,,
1900HA030072,,"Thornden School",,50.993211463,-1.366150393,,,,,,
1900HA030066,,"Peverells Wood Avenue",,50.989237933,-1.371347894,,,,,,
1900HA030068,,"Fryern Hill, Halfway Inn",,50.987282513,-1.375619918,,,,,,
1900HA030069,,"Kings Road",,50.985363355,-1.379976576,,,,,,
1900HA030014,,"Chandlers Ford Rail Station",,50.9826732,-1.383103697,,,,,,
1900HA030012,,"Hut Farm Place",,50.979572789,-1.385181755,,,,,,
1900HA030108,,"Leigh Road",,50.974292936,-1.388356432,,,,,,
1900HA030001,,"Chandlers Ford, Asda",,50.967841908,-1.391132686,,,,,,
1900HA100778,,"Birch Road",,50.956832333,-1.401015113,,,,,,
1900HA100780,,"Bassett, Chilworth Roundabout",,50.95407928,-1.40250265,,,,,,
1980SN121009,,"Saxholm Way",,50.949907965,-1.40449215,,,,,,
1980SN121005,,"Bassett Wood Road",,50.948138678,-1.404927564,,,,,,
1980SN121010,,"Ridgemount Avenue",,50.945561137,-1.405572531,,,,,,
1980SN120116,,"Holly Hill",,50.941699275,-1.406532672,,,,,,
1980SN120115,,"Bassett Crescent",,50.939254144,-1.406691876,,,,,,
1980SN120119,,"Bassett Crossroads",,50.936825043,-1.406466604,,,,,,
